text,label,gender,text_cf,swap_changed
"Dr. Cook graduated from Duke University School of Medicine in 1997 and has been in practice for 21 years. He completed a residency at Moffitt Hospital University of Ca. Dr. Cook also specializes in Sports Medicine. He currently practices at Novant Health Perry & Cook Orthopedics & Sports Medicine and is affiliated with Novant Health Charlotte Orthopaedic Hospital and Novant Health Presbyterian Medical Center. Dr. Cook accepts multiple insurance plans including Aetna, Medicare and Humana. Dr. Cook is board certified in Orthopaedic Surgery.",25,0,"Dr. Cook graduated from Duke University School of Medicine in 1997 and has been in practice for 21 years. She completed a residency at Moffitt Hospital University of Ca. Dr. Cook also specializes in Sports Medicine. She currently practices at Novant Health Perry & Cook Orthopedics & Sports Medicine and is affiliated with Novant Health Charlotte Orthopaedic Hospital and Novant Health Presbyterian Medical Center. Dr. Cook accepts multiple insurance plans including Aetna, Medicare and Humana. Dr. Cook is board certified in Orthopaedic Surgery.",1
"She earned her Master’s degree in Nutritional Biochemistry and Metabolism from the Friedman School of Nutrition Science and Policy at Tufts University and completed her training to become a Registered Dietitian at the Brigham and Women’s Hospital in Boston, MA.Gloria worked for three years as a bariatric dietitian at the Obesity Consult Center at Tufts-New England Medical Center, working in medical and surgical adult weight management. Currently, she also provides medical nutrition therapy for cardiac patients, and is the Adult Clinical Outpatient Dietitian for the OHSU Lipid Clinic.",7,1,"He earned his Master’s degree in Nutritional Biochemistry and Metabolism from the Friedman School of Nutrition Science and Policy at Tufts University and completed his training to become a Registered Dietitian at the Brigham and Men’s Hospital in Boston, MA.Gloria worked for three years as a bariatric dietitian at the Obesity Consult Center at Tufts-New England Medical Center, working in medical and surgical adult weight management. Currently, he also provides medical nutrition therapy for cardiac patients, and is the Adult Clinical Outpatient Dietitian for the OHSU Lipid Clinic.",1
"Since then he has also been a writer of magazine and newspaper articles on a variety of issues, including financial matters, cultural issues and religion. He lives in Burke, Virginia, with his wife and three rowdy boys.",11,0,"Since then she has also been a writer of magazine and newspaper articles on a variety of issues, including financial matters, cultural issues and religion. She lives in Burke, Virginia, with her husband and three rowdy girls.",1
"His research interests focus on the development and application of text-mining techniques and tools for biomedical researchers. He applies information retrieval and machine learning techniques to scientific literature and databases to help researchers to more effectively use and explore the ever-expanding biomedical literature. Aaron received an M.D. from the University of Michigan, and holds a master's degree in biomedical informatics from OHSU. Current projects include the use of automated classification systems in the process of creating systematic drug reviews, and the development and evaluation of computer assisted biomedical question answering systems.",21,0,"Her research interests focus on the development and application of text-mining techniques and tools for biomedical researchers. She applies information retrieval and machine learning techniques to scientific literature and databases to help researchers to more effectively use and explore the ever-expanding biomedical literature. Aaron received an M.D. from the University of Michigan, and holds a master's degree in biomedical informatics from OHSU. Current projects include the use of automated classification systems in the process of creating systematic drug reviews, and the development and evaluation of computer assisted biomedical question answering systems.",1
"His interests include physics, programming, history and religion. He is associated with Da’wah efforts in various forms and may be contacted at naf@engineer.com or www.navaidalam.com for further information.",24,0,"Her interests include physics, programming, history and religion. She is associated with Da’wah efforts in various forms and may be contacted at naf@engineer.com or www.navaidalam.com for further information.",1
"A Cancer sun, Capricorn moon of Cuban descent, she was born in Memphis, Tennessee and grew up between the U.S. Deep South and southeastern Florida. Her writing has been published in BOMB, ARTFORUM, Women & Performance: a journal of feminist theory, Sargasso, La Gaceta de Cuba, Obsidian, Comparative Literature and Culture, La Habana Elegante, and El Diario de Beta-Local. Currently, she’s an Assistant Professor of English at Wesleyan University. In the past, she has taught at the University of Pennsylvania, Temple University, and Stony Brook University, where she earned her Ph.D. in English and wrote her dissertation about a Poetics of the Americas. Her research and writing focus on: Latina/o/x, Caribbean, and Black Diasporic Poetics, Performance, and Music; Contemporary Puerto Rican and Cuban Art; Latina/o/x Studies; Third Cinema; Literary, Film, Queer, and Translation Theories.",20,1,"A Cancer sun, Capricorn moon of Cuban descent, he was born in Memphis, Tennessee and grew up between the U.S. Deep South and southeastern Florida. His writing has been published in BOMB, ARTFORUM, Men & Performance: a journal of feminist theory, Sargasso, La Gaceta de Cuba, Obsidian, Comparative Literature and Culture, La Habana Elegante, and El Diario de Beta-Local. Currently, he’s an Assistant Professor of English at Wesleyan University. In the past, he has taught at the University of Pennsylvania, Temple University, and Stony Brook University, where he earned his Ph.D. in English and wrote his dissertation about a Poetics of the Americas. His research and writing focus on: Latina/o/x, Caribbean, and Black Diasporic Poetics, Performance, and Music; Contemporary Puerto Rican and Cuban Art; Latina/o/x Studies; Third Cinema; Literary, Film, Queer, and Translation Theories.",1
"Dr. Lepore attended the University of Cincinnati College of Medicine for medical school and subsequently trained at Stanford University Medical Center for residency. These areas are among his clinical interests: dermabrasion, breast augmentation, and labiaplasty. His average rating from his patients is 5.0 stars out of 5. Dr. Lepore honors several insurance carriers, including Anthem, Blue Cross/Blue Shield, and Blue Shield. His distinctions include: RealSelf TOP 500; Named Outstanding Physician Specialist in Plastic Surgery, Bay Area Checkbook, Vol. 6, No.3; and RealSelf TOP 100. His hospital/clinic affiliations include Good Samaritan Hospital and Regional Hospital.",19,0,"Dr. Lepore attended the University of Cincinnati College of Medicine for medical school and subsequently trained at Stanford University Medical Center for residency. These areas are among her clinical interests: dermabrasion, breast augmentation, and labiaplasty. Her average rating from her patients is 5.0 stars out of 5. Dr. Lepore honors several insurance carriers, including Anthem, Blue Cross/Blue Shield, and Blue Shield. Her distinctions include: RealSelf TOP 500; Named Outstanding Physician Specialist in Plastic Surgery, Bay Area Checkbook, Vol. 6, No.3; and RealSelf TOP 100. Her hospital/clinic affiliations include Good Samaritan Hospital and Regional Hospital.",1
"Mary's County Public Schools, where he teaches elementary general music, chorus, band, and strings. He is a graduate of Christopher Newport University in Newport News, Virginia. He holds a Bachelor of Music Education (2006) and a Master of the Arts in Teaching (2008). He has been teaching in one form or another for about 10 years, and has had a private studio for 4 years. He is primarily a trombone player, but doubles on tuba, baritone/euphonium, trumpet, didgeridoo, djembe, and anything else that he can get his hands on. Nathan is always looking for a great project, and is currently balancing time between teaching, writing music, and exploring various musical possibilities centered around electrified trombone.",26,0,"Mary's County Public Schools, where she teaches elementary general music, chorus, band, and strings. She is a graduate of Christopher Newport University in Newport News, Virginia. She holds a Bachelor of Music Education (2006) and a Master of the Arts in Teaching (2008). She has been teaching in one form or another for about 10 years, and has had a private studio for 4 years. She is primarily a trombone player, but doubles on tuba, baritone/euphonium, trumpet, didgeridoo, djembe, and anything else that she can get her hands on. Nathan is always looking for a great project, and is currently balancing time between teaching, writing music, and exploring various musical possibilities centered around electrified trombone.",1
"His work contains graphic, narrative images utilizing symbolism and the surreal, and continues to evolve through fashion editorials and fine art photography.",18,0,"Her work contains graphic, narrative images utilizing symbolism and the surreal, and continues to evolve through fashion editorials and fine art photography.",1
"He earned a B.S. degree from Cornell University, a M.S. degree from the Virginia-Maryland Regional College of Veterinary Medicine, and a Ph.D. from the University of Cambridge (United Kingdom), where he concentrated on human genetic variation and the molecular genetic analysis of human remains. He did post-doctoral research in human/forensic osteology at the Univeristy of California at Santa Barbara. Dr. Miller has over 10 years experience working in local, state, and federal crime laboratories, consulted widely throughout the United States and abroad, and testified in many criminal trials.",21,0,"She earned a B.S. degree from Cornell University, a M.S. degree from the Virginia-Maryland Regional College of Veterinary Medicine, and a Ph.D. from the University of Cambridge (United Kingdom), where she concentrated on human genetic variation and the molecular genetic analysis of human remains. She did post-doctoral research in human/forensic osteology at the Univeristy of California at Santa Barbara. Dr. Miller has over 10 years experience working in local, state, and federal crime laboratories, consulted widely throughout the United States and abroad, and testified in many criminal trials.",1
"Her research is focused on building a greater understanding of institutions that affect the representation of women in legislatures around the world, with specific attention given to the effects of electoral system variables such as intraparty competition, the nomination strategies of political parties, and information shortcuts employed by both voters and party elites. In 2012, Professor Ellis Valdini won the coveted Carrie Chapman Catt Award for her gender quota research from the American Political Science Association.",21,1,"His research is focused on building a greater understanding of institutions that affect the representation of men in legislatures around the world, with specific attention given to the effects of electoral system variables such as intraparty competition, the nomination strategies of political parties, and information shortcuts employed by both voters and party elites. In 2012, Professor Ellis Valdini won the coveted Carrie Chapman Catt Award for his gender quota research from the American Political Science Association.",1
"She holds a Doctor of Education degree in Educational Leadership with a specialization in Postsecondary Education from San Diego State University. Her doctoral dissertation was concerned with the effectiveness of business education in California; specifically, on whether or not the skills and competencies that colleges teach actually meet the needs of the global economy. Dr. Weisblat also has a Master of Business Administration in Global Management from National University and a Bachelor of Arts Degree in English, with a concentration in Teaching, from St. Petersburg University, Russia.",21,1,"He holds a Doctor of Education degree in Educational Leadership with a specialization in Postsecondary Education from San Diego State University. His doctoral dissertation was concerned with the effectiveness of business education in California; specifically, on whether or not the skills and competencies that colleges teach actually meet the needs of the global economy. Dr. Weisblat also has a Master of Business Administration in Global Management from National University and a Bachelor of Arts Degree in English, with a concentration in Teaching, from St. Petersburg University, Russia.",1
"He is the author of numerous texts on Chicano avant-garde art, video, experimental cinema, and social space in southern California. He co-organized Asco: Elite of the Obscure, A Retrospective, 1972-1987, the first museum retrospective to present the wide-ranging work of the performance and conceptual art group Asco, which premiered at the Los Angeles County Museum of Art in fall 2011. FREE",21,0,"She is the author of numerous texts on Chicano avant-garde art, video, experimental cinema, and social space in southern California. She co-organized Asco: Elite of the Obscure, A Retrospective, 1972-1987, the first museum retrospective to present the wide-ranging work of the performance and conceptual art group Asco, which premiered at the Los Angeles County Museum of Art in fall 2011. FREE",1
"His photographic works focusing on fireworks are not limited to Japan but all over the world all year around. As he pursues capturing the moment of firework sparkles at the height of 300 meters above ground where firework balls explode, he is acclaimed to be ""a photographer who travels to the height of 300 meters."" While amateurs are even able to shoot simple fireworks pictures with their smartphones or digital cameras, Saeki daringly chooses conventional film cameras to bring out the charm of analog film and associate with the astral world of fireworks. With no multiple exposure functions in camera, he releases a one-time-only shutter to capture the very moment of firework sparkles. The book is full of exclusive techniques that Saeki effectively commands.",18,0,"Her photographic works focusing on fireworks are not limited to Japan but all over the world all year around. As she pursues capturing the moment of firework sparkles at the height of 300 meters above ground where firework balls explode, she is acclaimed to be ""a photographer who travels to the height of 300 meters."" While amateurs are even able to shoot simple fireworks pictures with their smartphones or digital cameras, Saeki daringly chooses conventional film cameras to bring out the charm of analog film and associate with the astral world of fireworks. With no multiple exposure functions in camera, she releases a one-time-only shutter to capture the very moment of firework sparkles. The book is full of exclusive techniques that Saeki effectively commands.",1
"With 12 years of experience as a newspaper photographer and a photography director, Ron has earned awards from the National Press Photographers Association, Press Photographers Association of Greater Los Angeles, and other journalism organizations for his photography. Switching gear from the newspaper world, Ron has found his passion in documenting weddings around the world everywhere his camera takes him. He loves what he does and it shows on the energy he brings into every wedding he covers. Ron was ranked as the Top 16 wedding photojournalist in the World by Wedding Photojournalism Association. He also has received awards for his recent works from the Wedding & Portrait Photographers International Association. Ron's works have been published at TIMES magazine, American Photo Magazine, Destination Weddings and Honeymoons magazine, Seattle Times, Los Angeles Times, Sports Illustrated, USA Today, etc.",18,0,"With 12 years of experience as a newspaper photographer and a photography director, Ron has earned awards from the National Press Photographers Association, Press Photographers Association of Greater Los Angeles, and other journalism organizations for her photography. Switching gear from the newspaper world, Ron has found her passion in documenting weddings around the world everywhere her camera takes her. She loves what she does and it shows on the energy she brings into every wedding she covers. Ron was ranked as the Top 16 wedding photojournalist in the World by Wedding Photojournalism Association. She also has received awards for her recent works from the Wedding & Portrait Photographers International Association. Ron's works have been published at TIMES magazine, American Photo Magazine, Destination Weddings and Honeymoons magazine, Seattle Times, Los Angeles Times, Sports Illustrated, USA Today, etc.",1
"Burns School of Medicine. She envisions herself as hale ipukukui or lighthouse, in direct lineage from her great-grandfather 70 years ago, the lighthouse keeper at Kalaupapa.",21,1,"Burns School of Medicine. He envisions himself as hale ipukukui or lighthouse, in direct lineage from his great-grandfather 70 years ago, the lighthouse keeper at Kalaupapa.",1
"He obtained his medical school training at Armed Forces Medical College and performed his residency at Stanford University Medical Center. In his practice, he is particularly interested in anesthesia. Dr. Mathur is in-network for Medicare insurance. Dr. Mathur is professionally affiliated with Stanford Health Care (SHC).",19,0,"She obtained her medical school training at Armed Forces Medical College and performed her residency at Stanford University Medical Center. In her practice, she is particularly interested in anesthesia. Dr. Mathur is in-network for Medicare insurance. Dr. Mathur is professionally affiliated with Stanford Health Care (SHC).",1
"He earned his diploma in psychology (corresponding to MA) at the Radboud University Nijmegen and his PhD at the University of Groningen, the Netherlands. He has published numerous articles and book chapters on the topics motivation and stress coping. Tops’ research focuses on stress (coping) hormones and brain mechanisms of self-regulation. His research has been supported by grants from the Netherlands Organization of Scientific Research (NWO).",21,0,"She earned her diploma in psychology (corresponding to MA) at the Radboud University Nijmegen and her PhD at the University of Groningen, the Netherlands. She has published numerous articles and book chapters on the topics motivation and stress coping. Tops’ research focuses on stress (coping) hormones and brain mechanisms of self-regulation. Her research has been supported by grants from the Netherlands Organization of Scientific Research (NWO).",1
"One who is meticulous and well rounded, Cephus demonstrates superior understanding of strategies and methods to achieve favorable results for his clients. Cephus has learned early in his career how to manage all aspects of managing a law practice from managing employees, to financial matters, to court demands. More impressive is his character, integrity, and fidelity to the rule of law and the best interests of his clients. Richard is a rising star.",2,0,"One who is meticulous and well rounded, Cephus demonstrates superior understanding of strategies and methods to achieve favorable results for her clients. Cephus has learned early in her career how to manage all aspects of managing a law practice from managing employees, to financial matters, to court demands. More impressive is her character, integrity, and fidelity to the rule of law and the best interests of her clients. Richard is a rising star.",1
"Tom’s experience in diverse firms developed a well-rounded and rich understanding of architectural practice, design, technology, materials and construction methods necessary to communicate with clients, consultants, and contractors. As a native New Yorker, Tom obtained his Bachelors of Architecture from Pratt Institute.",1,0,"Tom’s experience in diverse firms developed a well-rounded and rich understanding of architectural practice, design, technology, materials and construction methods necessary to communicate with clients, consultants, and contractors. As a native New Yorker, Tom obtained her Bachelors of Architecture from Pratt Institute.",1
Nakai paints by dipping into her natural feelings at the time based on the scenery and characters in the motif. She will present new works based on the “Wind God and Thunder God” painted screens of 17th century.,14,1,Nakai paints by dipping into his natural feelings at the time based on the scenery and characters in the motif. He will present new works based on the “Wind God and Thunder God” painted screens of 17th century.,1
"In April 2010, Melanie broke her back and neck falling from a horse. Since her accident, she has been entertaining and inspiring readers with her weekly column in The Times. In 2011 she was named Columnist of the Year in the British Press Awards. A year later she was awarded broadsheet Columnist of the Year.",11,1,"In April 2010, Melanie broke his back and neck falling from a horse. Since his accident, he has been entertaining and inspiring readers with his weekly column in The Times. In 2011 he was named Columnist of the Year in the British Press Awards. A year later he was awarded broadsheet Columnist of the Year.",1
"He has over 19 years of experience working with early-stage companies, particularly in the technology field, concentrating his practice on corporate formation and structure, joint ventures, licensing, intellectual property protection, corporate governance, shareholder agreements, employee incentive plans, securities laws and private placements.",2,0,"She has over 19 years of experience working with early-stage companies, particularly in the technology field, concentrating her practice on corporate formation and structure, joint ventures, licensing, intellectual property protection, corporate governance, shareholder agreements, employee incentive plans, securities laws and private placements.",1
"What begins as investigative research aimed at his next paycheck quickly gives way to personal obsession over the truth as it becomes clear that powerful forces are working overtime to cover up the murdered cover girl. And if Jordan doesn't stop scratching at the itch, someone may just scratch him out … permanently.",11,0,"What begins as investigative research aimed at her next paycheck quickly gives way to personal obsession over the truth as it becomes clear that powerful forces are working overtime to cover up the murdered cover boy. And if Jordan doesn't stop scratching at the itch, someone may just scratch her out … permanently.",1
"He attended Ludwig-Maximilians-University of Munich Faculty of Medicine for medical school and subsequently trained at St. Joseph's Hospital and Medical Center, Phoenix for residency. He speaks German.",19,0,"She attended Ludwig-Maximilians-University of Munich Faculty of Medicine for medical school and subsequently trained at St. Joseph's Hospital and Medical Center, Phoenix for residency. She speaks German.",1
She received her Doctoral degree from University of Delhi and continued research in the field of reproductive biology of seaweeds. She has made significant contributions and has over 40 publications in national and international journals of repute. Dr Inderdeep has also presented her work in over half a dozen international conferences. Dr Inderdeep retains interest in contemporary fields of plant sciences and has contributed chapters on various topics in national and international editions. Dr Inderdeep has been teaching reproductive biology of flowering plants to undergraduates for more than adecade and is actively engaged in collaborating research projects for undergraduates in college. Dr. Inderdeep has successfully handled and completed a few R&D projects and has supervised several students for research at all levels including doctorates.,21,1,He received his Doctoral degree from University of Delhi and continued research in the field of reproductive biology of seaweeds. He has made significant contributions and has over 40 publications in national and international journals of repute. Dr Inderdeep has also presented his work in over half a dozen international conferences. Dr Inderdeep retains interest in contemporary fields of plant sciences and has contributed chapters on various topics in national and international editions. Dr Inderdeep has been teaching reproductive biology of flowering plants to undergraduates for more than adecade and is actively engaged in collaborating research projects for undergraduates in college. Dr. Inderdeep has successfully handled and completed a few R&D projects and has supervised several students for research at all levels including doctorates.,1
She has 15 years of experience. Her specialties include Pediatric Dentistry. Carrie Arquitt is affiliated with Cox-Monett Hospital. Carrie Arquitt has received 1 award.,6,1,He has 15 years of experience. His specialties include Pediatric Dentistry. Carrie Arquitt is affiliated with Cox-Monett Hospital. Carrie Arquitt has received 1 award.,1
"He has won many international awards. Lubera has taken photos from many weddings, and functions. He also has taken many portraits of a wide range of places throughout the world. Some of these places include: New York, Beverly Hills, Philippines, the Caribbean and others. Asa result of all this, Kevin Lubera is known to be one of the best wedding photographer in hawaii. Kevin photographed his first wedding in 2002. It was then that he realized he enjoyed taking photos of people.",18,0,"She has won many international awards. Lubera has taken photos from many weddings, and functions. She also has taken many portraits of a wide range of places throughout the world. Some of these places include: New York, Beverly Hills, Philippines, the Caribbean and others. Asa result of all this, Kevin Lubera is known to be one of the best wedding photographer in hawaii. Kevin photographed her first wedding in 2002. It was then that she realized she enjoyed taking photos of people.",1
"Dr. (Mrs.)Kamlesh Kuthalia practices at Dr Aditya's Dental Care Clinic in Kotla Mubarakpur, Delhi. She completed MBBS from MEERUT UNIVERSITY in 1977. She is a member of Delhi Medical Association (DMA). Some of the services provided by the doctor are: Consulting Physician,X- Ray ,Ultrasound Scan and Clinical Lab etc.",19,1,"Dr. (Mr.)Kamlesh Kuthalia practices at Dr Aditya's Dental Care Clinic in Kotla Mubarakpur, Delhi. He completed MBBS from MEERUT UNIVERSITY in 1977. He is a member of Delhi Medical Association (DMA). Some of the services provided by the doctor are: Consulting Physician,X- Ray ,Ultrasound Scan and Clinical Lab etc.",1
"She graduated with honors in 2013. Having more than 3 years of diverse experiences, especially in NURSE PRACTITIONER, Dr. Jaye C Krubally affiliates with many hospitals including Methodist Dallas Medical Center, Methodist Charlton Medical Center, and cooperates with other doctors and specialists in medical group Medhealth. Call Dr. Jaye C Krubally on phone number (214) 947-3684 for more information and advises or to book an appointment.",13,1,"He graduated with honors in 2013. Having more than 3 years of diverse experiences, especially in NURSE PRACTITIONER, Dr. Jaye C Krubally affiliates with many hospitals including Methodist Dallas Medical Center, Methodist Charlton Medical Center, and cooperates with other doctors and specialists in medical group Medhealth. Call Dr. Jaye C Krubally on phone number (214) 947-3684 for more information and advises or to book an appointment.",1
"His professional experience includes extensive clinical work in inpatient and outpatient settings, and he is currently focusing on emerging scientific research of the human overpopulation of Earth. For more on his background and current work, visit his Sustainability Science website, which includes links to other population data and resources, including the World Food and Human Population Growth Player.",22,0,"Her professional experience includes extensive clinical work in inpatient and outpatient settings, and she is currently focusing on emerging scientific research of the human overpopulation of Earth. For more on her background and current work, visit her Sustainability Science website, which includes links to other population data and resources, including the World Food and Human Population Growth Player.",1
"He is noted for his collaborative work with Vaughan Oliver and the design studios 23 Envelope and v23 providing the photography used on album artwork for bands such as Pixies, Red House Painters, Heidi Berry and other artists on the 4AD label.",18,0,"She is noted for her collaborative work with Vaughan Oliver and the design studios 23 Envelope and v23 providing the photography used on album artwork for bands such as Pixies, Red House Painters, Heidi Berry and other artists on the 4AD label.",1
"In his earlier acting career, he was a stand-up comedian. He worked on Saturday Night Live from 1980 to 1984. He is famous for his performances in 48 Hrs, Beverly Hills Cop Series, The Nutty Professor and Trading Places. He won the Golden Globe award for Best Supporting Actor. Eddie Murphy is also a singer, writer and producer. Most of his movies were commercially successful and box office hit.",4,0,"In her earlier acting career, she was a stand-up comedian. She worked on Saturday Night Live from 1980 to 1984. She is famous for her performances in 48 Hrs, Beverly Hills Cop Series, The Nutty Professor and Trading Places. She won the Golden Globe award for Best Supporting Actress. Eddie Murphy is also a singer, writer and producer. Most of her movies were commercially successful and box office hit.",1
"Gabelli School of Business (GSB). He joined GSB in January, 2015 after completing his Ph.D. in Leadership and Organizational Behavior at Binghamton University, State University of New York. Prior to joining academia, Professor Knights worked in the area of Securities Lending at JPMorgan Chase Bank in New York City.",21,0,"Gabelli School of Business (GSB). She joined GSB in January, 2015 after completing her Ph.D. in Leadership and Organizational Behavior at Binghamton University, State University of New York. Prior to joining academia, Professor Knights worked in the area of Securities Lending at JPMorgan Chase Bank in New York City.",1
"Here he heads the ‘Biochemistry of Diabetic complications’ laboratory. He also has academic appointment as a Professor, in the Department of Epidemiology and Preventive Medicine at Monash University, Australia.",19,0,"Here she heads the ‘Biochemistry of Diabetic complications’ laboratory. She also has academic appointment as a Professor, in the Department of Epidemiology and Preventive Medicine at Monash University, Australia.",1
"Mr. Kumar Ravi practices at Indirapuram Pet Clinic in Indirapuram, Ghaziabad. He completed B. V. Sc from Gujarat University, India in 2004. He is a member of Small Animal Veterinary Association (SAVA). Some of the services provided by the doctor are: Vaccination/ Immunization,Pet Grooming,Gynecology and Veterinary Treatment etc.",19,0,"Ms. Kumar Ravi practices at Indirapuram Pet Clinic in Indirapuram, Ghaziabad. She completed B. V. Sc from Gujarat University, India in 2004. She is a member of Small Animal Veterinary Association (SAVA). Some of the services provided by the doctor are: Vaccination/ Immunization,Pet Grooming,Gynecology and Veterinary Treatment etc.",1
"After graduating with a Bachelor of Fine Arts degree in photography from the University of Michigan, he started his own business in 1980. Clients include National and Baltimore and Washington architectural firms, engineering firms, real estate developers, graphic design and advertising firms, government agencies and local corporations. In addition to photographing architectural interiors and exteriors, Mr. Schamp also does aerial photography. Mr. Schamp’s style is characterized by strong graphic composition, light and color.",18,0,"After graduating with a Bachelor of Fine Arts degree in photography from the University of Michigan, she started her own business in 1980. Clients include National and Baltimore and Washington architectural firms, engineering firms, real estate developers, graphic design and advertising firms, government agencies and local corporations. In addition to photographing architectural interiors and exteriors, Ms. Schamp also does aerial photography. Ms. Schamp’s style is characterized by strong graphic composition, light and color.",1
"She is conversant in Spanish. Dr. Schmidt is affiliated with Sunrise Children's Hospital. She graduated from George Washington University School of Medicine and Health Sciences. She trained at a hospital affiliated with the University of Texas Southwestern Medical Center at Dallas for her residency. The average patient rating for Dr. Schmidt is 4.0 stars out of 5. She is in-network for Humana HMO, Humana Bronze, and Humana Catastrophic, in addition to other insurance carriers.",25,1,"He is conversant in Spanish. Dr. Schmidt is affiliated with Sunrise Children's Hospital. He graduated from George Washington University School of Medicine and Health Sciences. He trained at a hospital affiliated with the University of Texas Southwestern Medical Center at Dallas for his residency. The average patient rating for Dr. Schmidt is 4.0 stars out of 5. He is in-network for Humana HMO, Humana Bronze, and Humana Catastrophic, in addition to other insurance carriers.",1
"She teaches English as a foreign language, second language acquisition theories, and language teaching methodologies. Her research interests include comprehension in a foreign language, assessment of reading ability, and classroom based second language acquisition. e-mail: yamashita@cc.nagoya-u.ac.jp",21,1,"He teaches English as a foreign language, second language acquisition theories, and language teaching methodologies. His research interests include comprehension in a foreign language, assessment of reading ability, and classroom based second language acquisition. e-mail: yamashita@cc.nagoya-u.ac.jp",1
"He found his love for his favorite subjects – insects – as well as his love for photography already in his home country. Hoffman was born in an artistic family, father also loved to take pictures of the local fauna and flora and he’s the one who greatly influenced Hoffman. The photographer’s first camera was an analogue Pentax, but today he usually uses a digital Canon whenever starting a tour. When he travels around the globe, that’s the camera which is always on board, and it helps him in finding many of his breathtaking images. He especially loves the immense diversity of life in Central America and Asia. Hoffman basically leaves interpretations to his viewers and whenever they interpret his photos correctly, he feels that his mission of producing the image has been accomplished.",18,0,"She found her love for her favorite subjects – insects – as well as her love for photography already in her home country. Hoffman was born in an artistic family, mother also loved to take pictures of the local fauna and flora and she’s the one who greatly influenced Hoffman. The photographer’s first camera was an analogue Pentax, but today she usually uses a digital Canon whenever starting a tour. When she travels around the globe, that’s the camera which is always on board, and it helps her in finding many of her breathtaking images. She especially loves the immense diversity of life in Central America and Asia. Hoffman basically leaves interpretations to her viewers and whenever they interpret her photos correctly, she feels that her mission of producing the image has been accomplished.",1
"He is the author of numerous books about the New World Order and 9-11. These books include New World Order Exposed, New World Order Illusion, 9-11 Evil: The Israeli Connection to 9-11; 9-11 On Trial; 9-11 Exposed and AFP's Phantom Flight 93 and Other Astounding 9-11 Mysteries Explored. He is also author of Hillary (and Bill): The Sex Volume. All are available from FIRST A BMENDMENTOOKS at 202-547-5585; toll free 1-888-699-NEWS. Thorn was, along with Lisa Guliani, a founder of WINGTV Network. He is also a member of the advisory board of THE B RARNESEVIEW magazine. BP: Goldman Sachs a vendu la moitié de ses parts avant la marée noire",11,0,"She is the author of numerous books about the New World Order and 9-11. These books include New World Order Exposed, New World Order Illusion, 9-11 Evil: The Israeli Connection to 9-11; 9-11 On Trial; 9-11 Exposed and AFP's Phantom Flight 93 and Other Astounding 9-11 Mysteries Explored. She is also author of Hillary (and Bill): The Sex Volume. All are available from FIRST A BMENDMENTOOKS at 202-547-5585; toll free 1-888-699-NEWS. Thorn was, along with Lisa Guliani, a founder of WINGTV Network. She is also a member of the advisory board of THE B RARNESEVIEW magazine. BP: Goldman Sachs a vendu la moitié de ses parts avant la marée noire",1
"She graduated from Paier College of Art in 2011 with a Bachelor of Arts Degree in Photography. She has previously worked with Maler Photography and the Yale Center for British Art, and continues to work with Steve DePino Photography.",18,1,"He graduated from Paier College of Art in 2011 with a Bachelor of Arts Degree in Photography. He has previously worked with Maler Photography and the Yale Center for British Art, and continues to work with Steve DePino Photography.",1
"Dr. Petrie's average patient rating is 4.5 stars out of 5. He takes Humana HMO, Humana Bronze, and Humana Catastrophic, in addition to other insurance carriers. He graduated from Louisiana State University School of Medicine in New Orleans.",25,0,"Dr. Petrie's average patient rating is 4.5 stars out of 5. She takes Humana HMO, Humana Bronze, and Humana Catastrophic, in addition to other insurance carriers. She graduated from Louisiana State University School of Medicine in New Orleans.",1
"Ms. Rasmussen practices medicine in Mission, TX and specializes in Family Medicine. Ms. Rasmussen is affiliated with Mission Regional Medical Center. Ms. Rasmussen speaks English and Spanish.",19,1,"Mr. Rasmussen practices medicine in Mission, TX and specializes in Family Medicine. Mr. Rasmussen is affiliated with Mission Regional Medical Center. Mr. Rasmussen speaks English and Spanish.",1
"Her work deals with post conflict, international attempts to regulate war violence, especially policies of DDR (Disarmament, Demobilization, Reintegration). She currently works on the return to civilian life of KLA's combatants.The Plantiful Table: Easy, From-the-Earth Recipes for the Whole Familyby Andrea Duclos$25.48$37.95In stock onlineAvailable in storesAcajou Et Zirphile, Conte (Classic Reprint)by Charles Pinot Duclos$15.14In stock onlineNot available in storesAcajou Et Zirphile, Conte ... A Minutieby Charles Pinot Duclos$26.95In stock onlineNot available in storesShop this author",21,1,"His work deals with post conflict, international attempts to regulate war violence, especially policies of DDR (Disarmament, Demobilization, Reintegration). He currently works on the return to civilian life of KLA's combatants.The Plantiful Table: Easy, From-the-Earth Recipes for the Whole Familyby Andrea Duclos$25.48$37.95In stock onlineAvailable in storesAcajou Et Zirphile, Conte (Classic Reprint)by Charles Pinot Duclos$15.14In stock onlineNot available in storesAcajou Et Zirphile, Conte ... A Minutieby Charles Pinot Duclos$26.95In stock onlineNot available in storesShop this author",1
